Index LeftOp RightOp TensorIndex CosineSimilarity MaxAbsoluteError AccumulatedRelativeError RelativeEuclideanDistance KullbackLeiblerDivergence StandardDeviation
0 IteratorGetNext_2_arg IteratorGetNext_2_arg NaN NaN NaN NaN NaN NaN NaN
1 IteratorGetNext_3_arg IteratorGetNext_3_arg NaN NaN NaN NaN NaN NaN NaN
2 IteratorGetNext_4_arg IteratorGetNext_4_arg NaN NaN NaN NaN NaN NaN NaN
3 IteratorGetNext_5_arg IteratorGetNext_5_arg NaN NaN NaN NaN NaN NaN NaN
4 IteratorGetNext_6_arg IteratorGetNext_6_arg NaN NaN NaN NaN NaN NaN NaN
5 IteratorGetNext_7_arg IteratorGetNext_7_arg NaN NaN NaN NaN NaN NaN NaN
6 IteratorGetNext_0_arg IteratorGetNext_0_arg NaN NaN NaN NaN NaN NaN NaN
7 KeypointNetwork/strided_slice KeypointNetwork/strided_slice NaN NaN NaN NaN NaN NaN NaN
8 trans_Cast_0 * NaN NaN NaN NaN NaN NaN NaN
9 trans_TransData_1 * NaN NaN NaN NaN NaN NaN NaN
10 IteratorGetNext_1_arg IteratorGetNext_1_arg NaN NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:input:0 NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:output:0 0.517289 1.000000 142576.794010 1.398113 inf (0.088;0.221),(0.058;0.135)
12 trans_Cast_2165 * trans_Cast_2165:input:0 0.517289 1.000000 142576.794010 1.398113 inf (0.088;0.221),(0.058;0.135)
12 trans_Cast_2165 * trans_Cast_2165:output:0 NaN NaN NaN NaN NaN NaN
13 trans_TransData_2166 * NaN NaN NaN NaN NaN NaN NaN
14 atomic_addr_clean0_61 atomic_addr_clean0_61 NaN NaN NaN NaN NaN NaN NaN
15 atomic_addr_clean0_61_0 atomic_addr_clean0_61_0 NaN NaN NaN NaN NaN NaN NaN
16 dynamic_const_816_3 * NaN NaN NaN NaN NaN NaN NaN
17 dynamic_const_816_2 * NaN NaN NaN NaN NaN NaN NaN
18 dynamic_const_816_1 * NaN NaN NaN NaN NaN NaN NaN
19 dynamic_const_816_0 * NaN NaN NaN NaN NaN NaN NaN
20 global_step global_step NaN NaN NaN NaN NaN NaN NaN
21 SwitchDataEdgesByPass_Memcpy_3 SwitchDataEdgesByPass_Memcpy_3 NaN NaN NaN NaN NaN NaN NaN
22 KeypointNetwork/dconv2/weights/Adam_1 KeypointNetwork/dconv2/weights/Adam_1 NaN NaN NaN NaN NaN NaN NaN
23 Const_1 Const_1 NaN NaN NaN NaN NaN NaN NaN
24 Reshape/shape Reshape/shape NaN NaN NaN NaN NaN NaN NaN
25 transpose transpose/perm,transpose transpose:input:0 NaN NaN NaN NaN NaN NaN
25 transpose transpose/perm,transpose transpose:output:0 0.998167 1.482347 170.541426 0.060532 inf (-1.737;7.316),(-1.732;7.320)
26 transpose_1 transpose/perm,transpose_1 transpose_1:input:0 NaN NaN NaN NaN NaN NaN
26 transpose_1 transpose/perm,transpose_1 transpose_1:output:0 0.997766 1.728583 213.147236 0.066818 0.000327 (-1.739;7.304),(-1.786;7.322)
27 transpose_2 transpose/perm,transpose_2 transpose_2:input:0 NaN NaN NaN NaN NaN NaN
27 transpose_2 transpose/perm,transpose_2 transpose_2:output:0 0.393205 39.971067 237.220213 1.101453 inf (0.639;7.492),(1.715;7.323)
28 transpose_3 transpose/perm,transpose_3 transpose_3:input:0 NaN NaN NaN NaN NaN NaN
28 transpose_3 transpose/perm,transpose_3 transpose_3:output:0 0.338880 48.091076 155.923806 1.147734 inf (1.341;7.387),(1.325;7.419)
29 MatMul_4 MatMul_4 MatMul_4:input:0 0.393205 39.971067 237.220213 1.101453 inf (0.639;7.492),(1.715;7.323)
29 MatMul_4 MatMul_4 MatMul_4:input:1 0.997766 1.728583 213.147236 0.066818 0.000327 (-1.739;7.304),(-1.786;7.322)
29 MatMul_4 MatMul_4 MatMul_4:output:0 0.370940 49.097458 642.203058 1.356219 inf (0.472;8.663),(-0.372;6.372)
30 strided_slice_22 strided_slice_22 strided_slice_22:input:0 0.370940 49.097458 642.203058 1.356219 inf (0.472;8.663),(-0.372;6.372)
30 strided_slice_22 strided_slice_22 strided_slice_22:output:0 0.297711 1.806641 208.823033 1.185149 inf (0.191;0.545),(0.218;0.534)
31 KeypointNetwork/sub/x KeypointNetwork/sub/x NaN NaN NaN NaN NaN NaN NaN
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:0 NaN NaN NaN NaN NaN NaN
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:1 1.0 0.000000 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:output:0 NaN NaN NaN NaN NaN NaN
33 ge_default_20201228113331_61_Send_11 * NaN NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/clip_by_value/Minimum/y KeypointNetwork/clip_by_value/Minimum/y NaN NaN NaN NaN NaN NaN NaN
35 KeypointNetwork/clip_by_value/y KeypointNetwork/clip_by_value/y NaN NaN NaN NaN NaN NaN NaN
36 KeypointNetwork/strided_slice/stack_1 KeypointNetwork/strided_slice/stack_1 NaN NaN NaN NaN NaN NaN NaN
37 KeypointNetwork/strided_slice/stack_2 KeypointNetwork/strided_slice/stack_2 NaN NaN NaN NaN NaN NaN NaN
38 KeypointNetwork/OrientationNetwork/dconv0/weights KeypointNetwork/OrientationNetwork/dconv0/weights NaN NaN NaN NaN NaN NaN NaN
39 trans_Cast_2 * trans_Cast_2:input:0 -0.015412 0.257262 2507.111552 1.429416 inf (0.000;0.035),(0.000;0.035)
39 trans_Cast_2 * trans_Cast_2:output:0 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:output:0 0.235972 0.918933 17970495.308919 1.645303 inf (0.006;0.110),(-0.002;0.070)
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:output:0 0.219301 0.896484 6353016.742684 1.592877 inf (0.005;0.104),(-0.002;0.071)
42 trans_Cast_16 * trans_Cast_16:input:0 0.235972 0.918933 17970495.308919 1.645303 inf (0.006;0.110),(-0.002;0.070)
42 trans_Cast_16 * trans_Cast_16:output:0 NaN NaN NaN NaN NaN NaN
43 trans_Cast_13 * trans_Cast_13:input:0 0.219301 0.896484 6353016.742684 1.592877 inf (0.005;0.104),(-0.002;0.071)
43 trans_Cast_13 * trans_Cast_13:output:0 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:0 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:1 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:2 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:3 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:4 1.0 0.000000 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:5 NaN 0.000089 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:6 1.000000 0.000999 0.031668 0.000990 0.674480 (0.999;0.000),(1.000;0.000)
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:0 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:1 0.386871 0.000128 52.882493 0.961214 inf (0.000;0.000),(0.000;0.000)
